logFC	logCPM	LR	PValue	FDR	gene_name	gene_type	ExpressionType
ENSG00000222041	-0.71459890822583	6.3027686871048	21.5386917317256	3.46761346180627e-06	4.03685010252611e-05	CYTOR	lncRNA	down_regulated
ENSG00000224078	0.394311746146996	6.46218218659071	11.8543864760847	0.000575256845400536	0.00390713691648279	SNHG14	lncRNA	up_regulated
ENSG00000224099	-3.15371104088939	5.72899393628099	90.4721853866426	1.8759562463891e-21	1.13243700239342e-19	AC104823.1	lncRNA	down_regulated
ENSG00000224189	0.847001746163324	6.40525606024715	60.9516402433022	5.84941772878718e-15	1.86563258746756e-13	HAGLR	lncRNA	up_regulated
ENSG00000224259	0.561421974561182	6.58737537860117	29.0147127709545	7.18306726554879e-08	1.11391550640559e-06	LINC01133	lncRNA	up_regulated
ENSG00000224272	0.452626565544853	6.28748371344931	13.2727472735725	0.000269292283136176	0.00200752530350011	AC131097.2	lncRNA	up_regulated
ENSG00000225138	-0.695864399991336	6.62462486546336	28.5409198351451	9.1739036067021e-08	1.39468129155944e-06	SLC9A3-AS1	lncRNA	down_regulated
ENSG00000225329	0.552843987688205	5.98595597732552	14.44509386946	0.000144305267743215	0.0011506299538159	LHFPL3-AS2	lncRNA	up_regulated
ENSG00000225489	-0.60098863429825	6.12208685862862	13.0127930831929	0.000309370153212678	0.00226938686781677	AL354707.1	lncRNA	down_regulated
ENSG00000225855	-0.704042628567445	6.2026046490685	18.8126027967276	1.44211055101767e-05	0.00014785516212795	RUSC1-AS1	lncRNA	down_regulated
ENSG00000226476	-2.03408889971763	6.07962342178633	83.0027204045122	8.19405423373745e-20	4.19014136952483e-18	LINC01748	lncRNA	down_regulated
ENSG00000226812	-0.900440273725424	6.11954034266614	25.9787758704279	3.4519151721135e-07	4.81594704113918e-06	AL117382.1	lncRNA	down_regulated
ENSG00000228526	-1.00398989951583	6.19099554723788	33.6708612285204	6.52711217703418e-09	1.18435503212314e-07	MIR34AHG	lncRNA	down_regulated
ENSG00000229891	-0.957712384763929	6.14119480342077	29.4781929112565	5.65494106420393e-08	8.92600710070454e-07	LINC01315	lncRNA	down_regulated
ENSG00000230316	-3.77297275917894	5.95160066970769	139.841970357314	2.88251322375444e-32	3.63990827999604e-30	FEZF1-AS1	lncRNA	down_regulated
ENSG00000231607	-0.763281744564341	6.09950111304198	19.2169046918423	1.16675599390903e-05	0.000121947680951218	DLEU2	lncRNA	down_regulated
ENSG00000231721	-0.665621867152775	6.16016132045191	16.2677678205508	5.49914764597074e-05	0.000488528012339468	LINC-PINT	lncRNA	down_regulated
ENSG00000231826	-1.20735954125927	5.93506219966347	33.3247974554898	7.79818982006599e-09	1.39454622866064e-07	LINC01819	lncRNA	down_regulated
ENSG00000232442	-0.833797362810057	6.24784886619805	26.3925405903215	2.78614388361209e-07	3.9404034925371e-06	MHENCR	lncRNA	down_regulated
ENSG00000232803	-1.84652390997735	6.11313058193305	76.0832816627649	2.71949975835195e-18	1.18918054804259e-16	SLCO4A1-AS1	lncRNA	down_regulated
ENSG00000232956	-0.610988911502727	6.78251190114574	26.4176389888242	2.75017533323232e-07	3.9029151088016e-06	SNHG15	lncRNA	down_regulated
ENSG00000233016	-0.400125266721806	6.84215972772291	12.9968574797106	0.000312014179305495	0.00228336810698137	SNHG7	lncRNA	down_regulated
ENSG00000233695	-1.51836452487457	6.39785222281344	79.0277826001804	6.12426003590919e-19	2.83849130877813e-17	GAS6-AS1	lncRNA	down_regulated
ENSG00000234456	0.528305587190057	6.14720101156248	15.8828099638349	6.73880190392445e-05	0.00058810065981005	MAGI2-AS3	lncRNA	up_regulated
ENSG00000234912	-0.559572669793814	6.26918065534644	13.5189967408465	0.000236160634485359	0.00178200478765629	SNHG20	lncRNA	down_regulated
ENSG00000235092	0.731360869996471	6.06186566192783	29.6355465387028	5.21399561544842e-08	8.31032587015206e-07	ID2-AS1	lncRNA	up_regulated
ENSG00000235888	-0.761317084138963	6.10410422632632	19.2353859084426	1.15551533356296e-05	0.00012097717641998	AF064858.1	lncRNA	down_regulated
ENSG00000236081	-2.65448080131294	6.26541785624944	138.953144134577	4.50965024157158e-32	5.52543779598498e-30	ELFN1-AS1	lncRNA	down_regulated
ENSG00000236144	-0.853621971376735	6.30442357631444	29.1864285097874	6.57380565326365e-08	1.02715713332245e-06	TMEM147-AS1	lncRNA	down_regulated
ENSG00000237361	-0.6255587577095	6.26318668750523	16.36471253557	5.22489815601404e-05	0.000467859006372458	TUSC8	lncRNA	down_regulated
ENSG00000237643	-1.61501215661065	6.08970646006812	61.7064369797808	3.98674875050071e-15	1.28814662630408e-13	AL365226.1	lncRNA	down_regulated
ENSG00000240498	1.99548305359806	5.87102391006642	262.414500321265	5.10765906516492e-59	2.34101040486725e-56	CDKN2B-AS1	lncRNA	up_regulated
ENSG00000242125	-0.472365048035827	6.83186413934684	17.4450742009888	2.95729594112454e-05	0.000281728539425837	SNHG3	lncRNA	down_regulated
ENSG00000244300	-1.37458779657131	6.09613831232588	49.2558618995288	2.24660995872514e-12	5.90711511728956e-11	GATA2-AS1	lncRNA	down_regulated
ENSG00000245694	-2.60549036313699	6.22368226889616	130.300892768782	3.52140232550097e-30	3.82257489281355e-28	CRNDE	lncRNA	down_regulated
ENSG00000245910	-0.355845037439777	6.94475630441995	11.4808391807501	0.000703173725810376	0.00466416062491255	SNHG6	lncRNA	down_regulated
ENSG00000246898	-0.90627261152957	6.08526740589983	25.232199409791	5.08265052329775e-07	6.89668862125106e-06	LINC00920	lncRNA	down_regulated
ENSG00000249669	0.552248104875836	6.3587855452328	22.142699652606	2.53116660658183e-06	3.02347362513997e-05	CARMN	lncRNA	up_regulated
ENSG00000249859	-1.22793099415598	6.6011658148754	70.7235135479945	4.10965020786328e-17	1.59927425541849e-15	PVT1	lncRNA	down_regulated
ENSG00000250899	-0.554885289152399	6.2080702827394	12.4497775917826	0.000418041595823747	0.00294605054004492	AC125807.2	lncRNA	down_regulated
ENSG00000253716	-0.638975213064692	6.2017658288036	15.8726724941033	6.77499603085426e-05	0.000590426590717053	MINCR	lncRNA	down_regulated
ENSG00000254166	-2.08771871849951	6.72280869779017	165.737663180748	6.31206117105718e-38	1.06355285364719e-35	CASC19	lncRNA	down_regulated
ENSG00000254290	-0.421731121284858	6.63606923197719	11.7900567512961	0.000595479198810594	0.00402655988981593	AC124067.4	lncRNA	down_regulated
ENSG00000255026	-1.73840086527673	6.03667700365059	64.2253806216088	1.10969965556269e-15	3.7726739663704e-14	AC136475.3	lncRNA	down_regulated
ENSG00000255248	0.522061343899446	6.10397487110755	14.70931948865	0.000125424867563479	0.00101645889724824	MIR100HG	lncRNA	up_regulated
ENSG00000255717	-0.523285112167517	6.92621902403179	22.8733238023116	1.73036757232269e-06	2.13705575923087e-05	SNHG1	lncRNA	down_regulated
ENSG00000255774	0.509423816039494	6.47587875797985	20.9497231803469	4.71495955960387e-06	5.35790859045895e-05	LINC02747	lncRNA	up_regulated
ENSG00000259342	0.850491977467447	6.10898161133962	44.2681832460129	2.86332356851515e-11	6.6355110787219e-10	AC025580.1	lncRNA	up_regulated
ENSG00000260196	-0.480649451465751	6.51341011366746	13.2664675045969	0.000270195862432245	0.00201304864394885	AC124798.1	lncRNA	down_regulated
ENSG00000260573	-3.27287630048356	5.75679301246847	97.3989580012834	5.66758476050715e-23	3.87493709454563e-21	AC007493.1	lncRNA	down_regulated
ENSG00000261061	-0.68753525309705	6.21825426855272	18.3719716515483	1.81711377091795e-05	0.000181345023508948	AC092718.4	lncRNA	down_regulated
ENSG00000261123	-0.626319762404865	6.18125587943105	14.9754717214603	0.000108917764220524	0.00089857155481932	AC009065.5	lncRNA	down_regulated
ENSG00000261373	-1.23880453180941	6.34607814546233	55.4351921242389	9.65915970043782e-14	2.80591787072577e-12	VPS9D1-AS1	lncRNA	down_regulated
ENSG00000262001	-0.976579834126658	6.42444837335101	41.3170723066249	1.29433491869631e-10	2.75686654369482e-09	DLGAP1-AS2	lncRNA	down_regulated
ENSG00000264112	-0.491593705362688	6.45580569976197	13.0372212033664	0.000305360840548058	0.00224143651076191	AC015813.1	lncRNA	down_regulated
ENSG00000265148	-0.90906814358176	6.28961068373572	31.8929291083815	1.6290910368667e-08	2.77304010745878e-07	TSPOAP1-AS1	lncRNA	down_regulated
ENSG00000265688	-1.64585142479885	6.22439253324027	73.6773841218623	9.19868008933203e-18	3.81992168139207e-16	MAFG-DT	lncRNA	down_regulated
ENSG00000267002	-0.424927277451308	6.47559692230691	10.1986105941237	0.00140546506688794	0.00843892780336648	AC060780.1	lncRNA	down_regulated
ENSG00000267519	-0.417347360475033	6.77705648846484	13.2233562265062	0.000276482091187205	0.00205740581986871	AC020916.1	lncRNA	down_regulated
ENSG00000268388	0.622083218343982	6.47442849506541	32.5279944630632	1.1748791675404e-08	2.04201259807759e-07	FENDRR	lncRNA	up_regulated
ENSG00000269821	-0.876610797998722	6.28027259932703	29.7269947865736	4.97373715629677e-08	7.96248348113487e-07	KCNQ1OT1	lncRNA	down_regulated
ENSG00000272141	-0.449303020735022	6.49157993825922	11.4793153861079	0.000703750488298584	0.00466465575398767	AL390719.2	lncRNA	down_regulated
ENSG00000272168	-0.800660848105017	6.0597138356611	19.8920433280691	8.19406489850589e-06	8.88707739868628e-05	CASC15	lncRNA	down_regulated
ENSG00000272620	-1.86179166689944	5.80371409340023	52.7298109469341	3.82737454069662e-13	1.06614429897346e-11	AFAP1-AS1	lncRNA	down_regulated
ENSG00000272686	0.483295322627788	6.25319534970607	14.7398763911648	0.000123408374597393	0.00100208571892568	WASL-DT	lncRNA	up_regulated
ENSG00000273142	-0.573276854667946	6.29355718494932	14.492530668453	0.000140716394916565	0.00112636829695504	LINC02604	lncRNA	down_regulated
ENSG00000274993	0.521624274492573	6.26838523449014	17.7116489390332	2.57047652685355e-05	0.000247623317289977	AC254629.1	lncRNA	up_regulated
ENSG00000275216	-2.90652545142512	6.12201139860885	130.973717660697	2.50906375736149e-30	2.77229142833469e-28	AL161431.1	lncRNA	down_regulated
ENSG00000280109	-2.40127561380954	5.75069059942296	67.9944294850274	1.63958075500308e-16	6.16442314578479e-15	PLAC4	lncRNA	down_regulated
ENSG00000280206	-0.558614527920118	6.39369667385212	15.3872601378897	8.75767591280777e-05	0.000741794931012978	AC026401.3	lncRNA	down_regulated
ENSG00000280734	-0.789879761866258	6.24220103547642	23.9392046555852	9.94262465318739e-07	1.27767372879744e-05	LINC01232	lncRNA	down_regulated
ENSG00000281398	-0.71533045372903	6.59691073453513	29.1375437711463	6.74177946328501e-08	1.05074963297421e-06	SNHG4	lncRNA	down_regulated
ENSG00000285756	-0.62934694360691	6.42896021642425	19.7099866034409	9.0129133275141e-06	9.67344340225386e-05	BX890604.1	lncRNA	down_regulated
ENSG00000287828	-1.34076155874959	6.4143234346313	67.0405875872917	2.65974447347656e-16	9.79593388668822e-15	AL354743.2	lncRNA	down_regulated
